Gmt time,"     Open","   High","   Low","   Close"," Open-target","High-target","Low-target","Close-taget"
"06.06.2010 ","1.19602","1.19649","1.19221","1.19281","1.19291","1.19908","1.18746","1.19208"
"07.06.2010 ","1.19291","1.19908","1.18746","1.19208","1.19208","1.20093","1.18989","1.19554"
"08.06.2010 ","1.19208","1.20093","1.18989","1.19554","1.19554","1.20728","1.19198","1.19872"
"09.06.2010 ","1.19554","1.20728","1.19198","1.19872","1.19878","1.21415","1.19543","1.21300"
"10.06.2010 ","1.19878","1.21415","1.19543","1.21300","1.21294","1.21526","1.20440","1.21099"
"11.06.2010 ","1.21294","1.21526","1.20440","1.21099","1.21099","1.21099","1.21099","1.21099"
"12.06.2010 ","1.21099","1.21099","1.21099","1.21099","1.21157","1.22059","1.21120","1.22030"
"13.06.2010 ","1.21157","1.22059","1.21120","1.22030","1.22035","1.22997","1.21596","1.22102"
"14.06.2010 ","1.22035","1.22997","1.21596","1.22102","1.22086","1.23494","1.21628","1.23134"
"15.06.2010 ","1.22086","1.23494","1.21628","1.23134","1.23126","1.23517","1.22518","1.22979"
"16.06.2010 ","1.23126","1.23517","1.22518","1.22979","1.22983","1.24141","1.22393","1.23857"
"17.06.2010 ","1.22983","1.24141","1.22393","1.23857","1.23840","1.24153","1.23504","1.23882"
"18.06.2010 ","1.23840","1.24153","1.23504","1.23882","1.23882","1.23882","1.23882","1.23882"
"19.06.2010 ","1.23882","1.23882","1.23882","1.23882","1.23952","1.24660","1.23952","1.24138"
"20.06.2010 ","1.23952","1.24660","1.23952","1.24138","1.24146","1.24659","1.23008","1.23208"
"21.06.2010 ","1.24146","1.24659","1.23008","1.23208","1.23184","1.23500","1.22506","1.22633"
"22.06.2010 ","1.23184","1.23500","1.22506","1.22633","1.22642","1.23438","1.22074","1.23052"
"23.06.2010 ","1.22642","1.23438","1.22074","1.23052","1.23049","1.23872","1.22583","1.23349"
"24.06.2010 ","1.23049","1.23872","1.22583","1.23349","1.23347","1.23934","1.22504","1.23753"
"25.06.2010 ","1.23347","1.23934","1.22504","1.23753","1.23753","1.23753","1.23753","1.23753"
"26.06.2010 ","1.23753","1.23753","1.23753","1.23753","1.23714","1.23862","1.23659","1.23857"
"27.06.2010 ","1.23714","1.23862","1.23659","1.23857","1.23830","1.23974","1.22631","1.22841"
"28.06.2010 ","1.23830","1.23974","1.22631","1.22841","1.22860","1.22904","1.21485","1.21844"
"29.06.2010 ","1.22860","1.22904","1.21485","1.21844","1.21830","1.23032","1.21634","1.22270"
"30.06.2010 ","1.21830","1.23032","1.21634","1.22270","1.22257","1.25380","1.21914","1.25089"
"01.07.2010 ","1.22257","1.25380","1.21914","1.25089","1.25105","1.26106","1.24794","1.25503"
"02.07.2010 ","1.25105","1.26106","1.24794","1.25503","1.25503","1.25503","1.25503","1.25503"
"03.07.2010 ","1.25503","1.25503","1.25503","1.25503","1.25547","1.25647","1.25401","1.25453"
"04.07.2010 ","1.25547","1.25647","1.25401","1.25453","1.25458","1.25568","1.25004","1.25072"
"05.07.2010 ","1.25458","1.25568","1.25004","1.25072","1.25061","1.26617","1.24783","1.26212"
"06.07.2010 ","1.25061","1.26617","1.24783","1.26212","1.26209","1.26638","1.25516","1.26229"
"07.07.2010 ","1.26209","1.26638","1.25516","1.26229","1.26228","1.27107","1.26216","1.26880"
"08.07.2010 ","1.26228","1.27107","1.26216","1.26880","1.26876","1.27213","1.26079","1.26391"
"09.07.2010 ","1.26876","1.27213","1.26079","1.26391","1.26391","1.26391","1.26391","1.26391"
"10.07.2010 ","1.26391","1.26391","1.26391","1.26391","1.26356","1.26465","1.26228","1.26373"
"11.07.2010 ","1.26356","1.26465","1.26228","1.26373","1.26364","1.26440","1.25477","1.26011"
"12.07.2010 ","1.26364","1.26440","1.25477","1.26011","1.26021","1.27373","1.25216","1.27179"
"13.07.2010 ","1.26021","1.27373","1.25216","1.27179","1.27174","1.27778","1.26807","1.27328"
"14.07.2010 ","1.27174","1.27778","1.26807","1.27328","1.27311","1.29546","1.27066","1.29175"
"15.07.2010 ","1.27311","1.29546","1.27066","1.29175","1.29172","1.30056","1.28867","1.29273"
"16.07.2010 ","1.29172","1.30056","1.28867","1.29273","1.29273","1.29273","1.29273","1.29273"
"17.07.2010 ","1.29273","1.29273","1.29273","1.29273","1.29231","1.29231","1.28855","1.28878"
"18.07.2010 ","1.29231","1.29231","1.28855","1.28878","1.28884","1.29908","1.28675","1.29366"
"19.07.2010 ","1.28884","1.29908","1.28675","1.29366","1.29361","1.30272","1.28377","1.29042"
"20.07.2010 ","1.29361","1.30272","1.28377","1.29042","1.29048","1.29120","1.27293","1.27586"
"21.07.2010 ","1.29048","1.29120","1.27293","1.27586","1.27589","1.29315","1.27367","1.29111"
"22.07.2010 ","1.27589","1.29315","1.27367","1.29111","1.29111","1.29649","1.27920","1.29019"
"23.07.2010 ","1.29111","1.29649","1.27920","1.29019","1.29019","1.29019","1.29019","1.29019"
"24.07.2010 ","1.29019","1.29019","1.29019","1.29019","1.28977","1.29247","1.28735","1.29207"
"25.07.2010 ","1.28977","1.29247","1.28735","1.29207","1.29206","1.30055","1.28852","1.29819"
"26.07.2010 ","1.29206","1.30055","1.28852","1.29819","1.29783","1.30456","1.29493","1.29877"
"27.07.2010 ","1.29783","1.30456","1.29493","1.29877","1.29875","1.30417","1.29653","1.29963"
"28.07.2010 ","1.29875","1.30417","1.29653","1.29963","1.29977","1.31041","1.29767","1.30658"
"29.07.2010 ","1.29977","1.31041","1.29767","1.30658","1.30657","1.30927","1.29775","1.30487"
"30.07.2010 ","1.30657","1.30927","1.29775","1.30487","1.30487","1.30487","1.30487","1.30487"
"31.07.2010 ","1.30487","1.30487","1.30487","1.30487","1.30533","1.30669","1.30498","1.30590"
"01.08.2010 ","1.30533","1.30669","1.30498","1.30590","1.30582","1.31937","1.30529","1.31722"
"02.08.2010 ","1.30582","1.31937","1.30529","1.31722","1.31682","1.32615","1.31440","1.32190"
"03.08.2010 ","1.31682","1.32615","1.31440","1.32190","1.32187","1.32383","1.31294","1.31534"
"04.08.2010 ","1.32187","1.32383","1.31294","1.31534","1.31536","1.32348","1.31173","1.31784"
"05.08.2010 ","1.31536","1.32348","1.31173","1.31784","1.31777","1.33333","1.31543","1.32808"
"06.08.2010 ","1.31777","1.33333","1.31543","1.32808","1.32808","1.32808","1.32808","1.32808"
"07.08.2010 ","1.32808","1.32808","1.32808","1.32808","1.32851","1.32959","1.32699","1.32834"
"08.08.2010 ","1.32851","1.32959","1.32699","1.32834","1.32828","1.33070","1.32060","1.32147"
"09.08.2010 ","1.32828","1.33070","1.32060","1.32147","1.32144","1.32266","1.30733","1.31530"
"10.08.2010 ","1.32144","1.32266","1.30733","1.31530","1.31534","1.31600","1.28270","1.28457"
"11.08.2010 ","1.31534","1.31600","1.28270","1.28457","1.28459","1.29315","1.27802","1.28406"
"12.08.2010 ","1.28459","1.29315","1.27802","1.28406","1.28418","1.29056","1.27458","1.27505"
"13.08.2010 ","1.28418","1.29056","1.27458","1.27505","1.27505","1.27505","1.27505","1.27505"
"14.08.2010 ","1.27505","1.27505","1.27505","1.27505","1.27550","1.27737","1.27527","1.27543"
"15.08.2010 ","1.27550","1.27737","1.27527","1.27543","1.27541","1.28699","1.27318","1.28094"
"16.08.2010 ","1.27541","1.28699","1.27318","1.28094","1.28083","1.29155","1.28019","1.28677"
"17.08.2010 ","1.28083","1.29155","1.28019","1.28677","1.28687","1.29203","1.27903","1.27932"
"18.08.2010 ","1.28687","1.29203","1.27903","1.27932","1.27947","1.29023","1.27714","1.28067"
"19.08.2010 ","1.27947","1.29023","1.27714","1.28067","1.28060","1.28316","1.26603","1.27048"
"20.08.2010 ","1.28060","1.28316","1.26603","1.27048","1.27048","1.27048","1.27048","1.27048"
"21.08.2010 ","1.27048","1.27048","1.27048","1.27048","1.27026","1.27107","1.26866","1.26971"
"22.08.2010 ","1.27026","1.27107","1.26866","1.26971","1.26980","1.27296","1.26210","1.26294"
"23.08.2010 ","1.26980","1.27296","1.26210","1.26294","1.26290","1.27185","1.25837","1.26355"
"24.08.2010 ","1.26290","1.27185","1.25837","1.26355","1.26349","1.27235","1.26048","1.26715"
"25.08.2010 ","1.26349","1.27235","1.26048","1.26715","1.26708","1.27630","1.26475","1.27021"
"26.08.2010 ","1.26708","1.27630","1.26475","1.27021","1.27030","1.27785","1.26750","1.27597"
"27.08.2010 ","1.27030","1.27785","1.26750","1.27597","1.27597","1.27597","1.27597","1.27597"
"28.08.2010 ","1.27597","1.27597","1.27597","1.27597","1.27575","1.27690","1.27406","1.27517"
"29.08.2010 ","1.27575","1.27690","1.27406","1.27517","1.27488","1.27548","1.26544","1.26633"
"30.08.2010 ","1.27488","1.27548","1.26544","1.26633","1.26616","1.27428","1.26215","1.26722"
"31.08.2010 ","1.26616","1.27428","1.26215","1.26722","1.26710","1.28542","1.26610","1.27942"
"01.09.2010 ","1.26710","1.28542","1.26610","1.27942","1.27938","1.28475","1.27735","1.28133"
"02.09.2010 ","1.27938","1.28475","1.27735","1.28133","1.28123","1.28971","1.28055","1.28940"
"03.09.2010 ","1.28123","1.28971","1.28055","1.28940","1.28940","1.28940","1.28940","1.28940"
"04.09.2010 ","1.28940","1.28940","1.28940","1.28940","1.28903","1.28957","1.28786","1.28845"
"05.09.2010 ","1.28903","1.28957","1.28786","1.28845","1.28840","1.29176","1.27993","1.28179"
"06.09.2010 ","1.28840","1.29176","1.27993","1.28179","1.28175","1.28181","1.26731","1.26894"
"07.09.2010 ","1.28175","1.28181","1.26731","1.26894","1.26913","1.27628","1.26577","1.27236"
"08.09.2010 ","1.26913","1.27628","1.26577","1.27236","1.27265","1.27657","1.26618","1.26780"
"09.09.2010 ","1.27265","1.27657","1.26618","1.26780","1.26766","1.27463","1.26425","1.26707"
"10.09.2010 ","1.26766","1.27463","1.26425","1.26707","1.26707","1.26707","1.26707","1.26707"
"11.09.2010 ","1.26707","1.26707","1.26707","1.26707","1.26748","1.27590","1.26748","1.27579"
"12.09.2010 ","1.26748","1.27590","1.26748","1.27579","1.27585","1.28917","1.27577","1.28624"
"13.09.2010 ","1.27585","1.28917","1.27577","1.28624","1.28632","1.30345","1.28265","1.29945"
"14.09.2010 ","1.28632","1.30345","1.28265","1.29945","1.29953","1.30369","1.29517","1.30089"
"15.09.2010 ","1.29953","1.30369","1.29517","1.30089","1.30055","1.31149","1.29727","1.30648"
"16.09.2010 ","1.30055","1.31149","1.29727","1.30648","1.30657","1.31587","1.30181","1.30507"
"17.09.2010 ","1.30657","1.31587","1.30181","1.30507","1.30507","1.30507","1.30507","1.30507"
"18.09.2010 ","1.30507","1.30507","1.30507","1.30507","1.30550","1.30654","1.30317","1.30418"
"19.09.2010 ","1.30550","1.30654","1.30317","1.30418","1.30397","1.31203","1.30313","1.30612"
"20.09.2010 ","1.30397","1.31203","1.30313","1.30612","1.30584","1.32894","1.30564","1.32819"
"21.09.2010 ","1.30584","1.32894","1.30564","1.32819","1.32795","1.34387","1.32650","1.33925"
"22.09.2010 ","1.32795","1.34387","1.32650","1.33925","1.33925","1.34124","1.32892","1.32915"
"23.09.2010 ","1.33925","1.34124","1.32892","1.32915","1.32924","1.34944","1.32833","1.34863"
"24.09.2010 ","1.32924","1.34944","1.32833","1.34863","1.34863","1.34863","1.34863","1.34863"
"25.09.2010 ","1.34863","1.34863","1.34863","1.34863","1.34842","1.34947","1.34674","1.34767"
"26.09.2010 ","1.34842","1.34947","1.34674","1.34767","1.34794","1.35061","1.34232","1.34285"
"27.09.2010 ","1.34794","1.35061","1.34232","1.34285","1.34297","1.35948","1.33777","1.35724"
"28.09.2010 ","1.34297","1.35948","1.33777","1.35724","1.35718","1.36458","1.35637","1.36240"
"29.09.2010 ","1.35718","1.36458","1.35637","1.36240","1.36238","1.36836","1.35594","1.36295"
"30.09.2010 ","1.36238","1.36836","1.35594","1.36295","1.36279","1.37939","1.36273","1.37870"
"01.10.2010 ","1.36279","1.37939","1.36273","1.37870","1.37870","1.37870","1.37870","1.37870"
"02.10.2010 ","1.37870","1.37870","1.37870","1.37870","1.37923","1.38055","1.37694","1.37751"
"03.10.2010 ","1.37923","1.38055","1.37694","1.37751","1.37761","1.37844","1.36412","1.36462"
"04.10.2010 ","1.37761","1.37844","1.36412","1.36462","1.36465","1.38588","1.36343","1.38528"
"05.10.2010 ","1.36465","1.38588","1.36343","1.38528","1.38521","1.39477","1.37977","1.39152"
"06.10.2010 ","1.38521","1.39477","1.37977","1.39152","1.39153","1.40274","1.38536","1.39229"
"07.10.2010 ","1.39153","1.40274","1.38536","1.39229","1.39236","1.39806","1.38332","1.39398"
"08.10.2010 ","1.39236","1.39806","1.38332","1.39398","1.39398","1.39398","1.39398","1.39398"
"09.10.2010 ","1.39398","1.39398","1.39398","1.39398","1.39474","1.40091","1.39474","1.39947"
"10.10.2010 ","1.39474","1.40091","1.39474","1.39947","1.39951","1.39982","1.38537","1.38643"
"11.10.2010 ","1.39951","1.39982","1.38537","1.38643","1.38641","1.39331","1.37727","1.39191"
"12.10.2010 ","1.38641","1.39331","1.37727","1.39191","1.39196","1.40007","1.39100","1.39820"
"13.10.2010 ","1.39196","1.40007","1.39100","1.39820","1.39821","1.41218","1.39810","1.40237"
"14.10.2010 ","1.39821","1.41218","1.39810","1.40237","1.40237","1.41561","1.39364","1.39755"
"15.10.2010 ","1.40237","1.41561","1.39364","1.39755","1.39755","1.39755","1.39755","1.39755"
"16.10.2010 ","1.39755","1.39755","1.39755","1.39755","1.39800","1.39899","1.39383","1.39502"
"17.10.2010 ","1.39800","1.39899","1.39383","1.39502","1.39503","1.39984","1.38278","1.39624"
"18.10.2010 ","1.39503","1.39984","1.38278","1.39624","1.39623","1.39969","1.36961","1.36975"
"19.10.2010 ","1.39623","1.39969","1.36961","1.36975","1.36976","1.39904","1.36971","1.39742"
"20.10.2010 ","1.36976","1.39904","1.36971","1.39742","1.39747","1.40490","1.38703","1.39106"
"21.10.2010 ","1.39747","1.40490","1.38703","1.39106","1.39115","1.39709","1.38566","1.39525"
"22.10.2010 ","1.39115","1.39709","1.38566","1.39525","1.39525","1.39525","1.39525","1.39525"
"23.10.2010 ","1.39525","1.39525","1.39525","1.39525","1.39570","1.39762","1.39309","1.39604"
"24.10.2010 ","1.39570","1.39762","1.39309","1.39604","1.39604","1.40794","1.39056","1.39217"
"25.10.2010 ","1.39604","1.40794","1.39056","1.39217","1.39216","1.39815","1.38216","1.38449"
"26.10.2010 ","1.39216","1.39815","1.38216","1.38449","1.38444","1.38767","1.37324","1.37927"
"27.10.2010 ","1.38444","1.38767","1.37324","1.37927","1.37942","1.39499","1.37749","1.39426"
